Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,207.70,208.79,196.34,197.48,197.48,119737600
2023-04-04,196.21,197.88,192.22,193.81,193.81,121217200
2023-04-05,193.97,194.60,185.00,185.06,185.06,122819000
2023-04-06,184.98,186.60,181.50,185.06,185.06,103924700
2023-04-10,184.30,186.20,181.70,184.51,184.51,101154100
2023-04-11,186.35,188.90,184.00,186.79,186.79,100219400
2023-04-12,187.25,191.00,186.00,189.94,189.94,106054300
2023-04-13,190.01,194.30,189.30,192.22,192.22,109315600
2023-04-14,193.44,194.48,185.84,185.84,185.84,108688300
2023-04-17,185.08,188.20,183.30,187.04,187.04,103032600
2023-04-18,187.09,190.52,185.77,186.79,186.79,111796900
2023-04-19,187.92,189.92,181.63,180.59,180.59,118975600
2023-04-20,161.12,167.00,160.52,162.99,162.99,243365800
2023-04-21,163.17,167.50,162.10,165.08,165.08,157961600
2023-04-24,164.00,166.22,162.00,165.66,165.66,121339700
2023-04-25,164.15,164.62,160.52,160.67,160.67,121740500
2023-04-26,161.23,163.68,158.20,160.31,160.31,127770700
2023-04-27,162.48,164.80,161.68,163.63,163.63,112416100
2023-04-28,162.92,165.60,161.01,164.31,164.31,104651200
2023-05-01,164.52,166.84,161.70,162.83,162.83,103607900
2023-05-02,161.22,162.59,158.60,160.31,160.31,113306300
2023-05-03,159.35,163.29,159.00,162.99,162.99,119013700
2023-05-04,162.62,163.82,160.40,161.20,161.20,105964900
2023-05-05,162.67,170.10,161.80,170.06,170.06,123780800
2023-05-08,168.90,170.20,165.30,166.52,166.52,90971700
2023-05-09,166.70,168.88,165.60,166.11,166.11,102513900
2023-05-10,167.98,174.30,166.50,174.00,174.00,109976200
2023-05-11,173.90,176.20,172.56,173.57,173.57,102422000
2023-05-12,173.80,175.45,172.01,173.44,173.44,89411100
2023-05-15,173.42,173.59,167.15,167.82,167.82,121190200
2023-05-16,167.20,169.88,166.44,167.45,167.45,112024700
2023-05-17,168.76,175.30,168.50,174.05,174.05,111040800
2023-05-18,175.50,180.30,174.90,180.14,180.14,123644600
2023-05-19,180.20,184.25,179.60,180.89,180.89,127215300
2023-05-22,181.00,183.20,178.14,183.21,183.21,121724500
2023-05-23,184.10,186.00,178.10,179.41,179.41,139180200
2024-08-20,259.75,262.10,257.90,261.85,261.85,119800000
2024-08-21,261.20,263.55,259.40,260.15,260.15,126500000
2024-08-22,260.90,264.80,260.10,264.10,264.10,132000000
2024-08-23,264.50,266.75,263.20,265.90,265.90,138700000
2024-08-26,265.40,267.85,264.50,266.75,266.75,143200000
2024-08-27,266.25,268.40,265.10,267.20,267.20,135900000
2024-08-28,267.80,270.15,266.50,269.40,269.40,149800000
2024-08-29,270.10,271.95,268.90,270.70,270.70,152300000
2024-08-30,270.55,272.30,269.40,271.80,271.80,158900000
2024-09-02,271.10,273.25,270.20,272.95,272.95,162400000
2024-09-03,272.60,274.80,271.55,273.40,273.40,155700000
2024-09-04,272.85,275.40,272.10,274.95,274.95,168800000
2024-09-05,274.30,276.25,273.10,275.70,275.70,171200000
2024-09-06,275.20,277.10,274.30,276.40,276.40,165900000
2024-09-09,276.10,278.50,275.20,277.05,277.05,173400000
2024-09-10,277.40,279.55,276.20,278.80,278.80,175600000
2024-09-11,278.25,280.30,277.20,279.45,279.45,180900000
2024-09-12,279.60,281.75,278.55,281.10,281.10,185300000
2024-09-13,280.90,282.40,279.70,281.95,281.95,188900000
2024-09-16,282.10,283.55,281.20,283.20,283.20,192300000
2024-09-17,283.50,285.20,282.40,284.75,284.75,194800000
2024-09-18,284.40,286.30,283.65,285.90,285.90,199400000
2024-09-19,285.75,287.60,284.90,286.45,286.45,203700000
2024-09-20,286.90,288.75,285.80,287.95,287.95,209800000
2024-09-23,287.30,289.40,286.10,288.50,288.50,212900000
2024-09-24,288.75,290.90,287.55,289.80,289.80,218300000
2024-09-25,289.65,291.50,288.80,290.95,290.95,220400000
2024-09-26,291.20,292.85,290.30,292.10,292.10,224900000
2024-09-27,292.55,294.40,291.60,293.35,293.35,231100000
2024-09-30,293.10,295.25,292.00,294.85,294.85,236400000
2024-10-01,294.40,296.10,293.50,295.75,295.75,241300000
2024-10-02,295.60,297.50,294.55,296.90,296.90,245600000
2024-10-03,297.20,298.80,296.10,297.95,297.95,251900000
2024-10-04,298.10,300.40,297.00,299.75,299.75,258300000
2024-10-07,299.30,301.20,298.50,300.50,300.50,263500000
2024-10-08,300.90,302.60,299.80,301.85,301.85,269900000
2024-10-09,301.20,303.10,300.10,302.45,302.45,274600000
2024-10-10,302.75,304.50,301.60,303.30,303.30,281200000
2024-10-11,303.90,305.70,302.80,304.95,304.95,286900000
2024-10-14,304.40,306.30,303.20,305.60,305.60,292300000
2024-10-15,305.10,307.40,304.10,306.85,306.85,299800000
2024-10-16,306.55,308.30,305.50,307.95,307.95,305600000
2024-10-17,307.80,309.70,306.85,308.90,308.90,311400000
2024-10-18,309.10,310.80,308.20,309.95,309.95,318500000
2024-10-21,310.25,312.00,309.40,311.65,311.65,325900000
2024-10-22,311.50,313.40,310.30,312.80,312.80,332400000
2024-10-23,312.95,314.85,311.80,314.20,314.20,340600000
2024-10-24,314.40,315.90,313.20,315.10,315.10,348700000
2024-10-25,315.35,317.20,314.50,316.85,316.85,355200000
2024-10-28,316.40,318.50,315.60,317.45,317.45,360800000
2024-10-29,317.30,319.25,316.10,318.85,318.85,368200000
2024-10-30,318.75,320.40,317.55,319.95,319.95,375900000
2024-10-31,319.60,321.55,318.50,320.90,320.90,383400000
2024-11-01,320.40,322.60,319.20,321.85,321.85,391300000
2024-11-04,321.95,323.80,320.80,322.70,322.70,399500000
2024-11-05,322.40,324.55,321.30,323.95,323.95,406800000
2024-11-06,323.80,325.60,322.50,324.75,324.75,414300000
2024-11-07,324.60,326.40,323.30,325.90,325.90,421600000
2024-11-08,325.35,327.55,324.20,326.85,326.85,429900000
2024-11-11,326.70,328.50,325.60,327.95,327.95,437200000
2024-11-12,327.50,329.30,326.30,328.85,328.85,445000000
2024-11-13,328.60,330.40,327.45,329.75,329.75,452800000
2024-11-14,329.20,331.10,328.00,330.60,330.60,460900000
2024-11-15,330.90,332.70,329.80,331.95,331.95,468500000
2024-11-18,331.40,333.50,330.20,332.85,332.85,477200000
2024-11-19,332.10,334.00,331.00,333.95,333.95,485900000
2024-11-20,333.25,335.10,332.10,334.65,334.65,493800000
2024-11-21,334.50,336.40,333.20,335.90,335.90,502500000
2024-11-22,335.30,337.25,334.20,336.85,336.85,511300000
2024-11-25,336.90,338.50,335.60,337.75,337.75,520600000
2024-11-26,337.40,339.10,336.25,338.95,338.95,528400000
2024-11-27,338.60,340.30,337.45,339.75,339.75,536800000
2024-11-28,339.10,341.00,338.00,340.50,340.50,545200000
2024-11-29,340.80,342.60,339.60,341.95,341.95,554300000
2024-12-02,342.10,343.95,341.00,343.25,343.25,562900000
2024-12-03,343.40,345.20,342.30,344.85,344.85,572800000
2024-12-04,344.60,346.50,343.40,345.95,345.95,581400000
2024-12-05,345.30,347.20,344.10,346.75,346.75,589900000
2024-12-06,346.80,348.60,345.50,347.90,347.90,598500000
2024-12-09,347.50,349.40,346.40,348.85,348.85,607800000
2024-12-10,348.95,350.70,347.80,349.65,349.65,616900000
2024-12-11,349.80,351.55,348.70,350.75,350.75,625200000
2024-12-12,351.40,352.90,350.20,352.10,352.10,633600000
2024-12-13,352.95,354.60,351.75,353.40,353.40,642500000
2024-12-16,353.80,355.40,352.60,354.75,354.75,651800000
2024-12-17,354.65,356.55,353.50,355.95,355.95,660900000
2024-12-18,355.30,357.20,354.10,356.85,356.85,669400000
2024-12-19,356.90,358.80,355.70,357.95,357.95,679600000
2024-12-20,357.75,359.65,356.50,358.85,358.85,688200000
2024-12-23,358.60,360.40,357.50,359.95,359.95,697300000
2024-12-24,359.50,361.35,358.30,360.85,360.85,706400000
2024-12-26,360.20,362.10,359.00,361.50,361.50,715800000
2024-12-27,361.40,363.20,360.20,362.80,362.80,724900000
2024-12-30,362.10,364.00,361.00,363.45,363.45,734500000
2024-12-31,363.75,365.60,362.50,364.95,364.95,744300000
2025-01-01,364.40,366.10,363.25,365.50,365.50,753900000
2025-01-02,365.90,367.60,364.70,366.85,366.85,763800000
2025-01-03,366.25,368.20,365.00,367.45,367.45,773200000
2025-01-06,367.80,369.50,366.60,368.95,368.95,783000000


